dana,dere,dgri,dmel,dmoj,dper,dpse,dsec,dsim,dvir,dwil,dyak
3,1,2,2,1,2,1,2,2,3,2,4
2,3,1,3,1,2,2,3,3,1,1,3
2,2,2,2,2,3,2,2,2,2,2,2
2,2,2,2,3,2,2,2,2,2,2,2
3,2,2,2,2,2,2,3,1,2,2,2
2,2,2,2,2,4,2,1,2,2,2,2
2,2,2,2,2,2,2,3,2,2,2,2
2,2,2,2,1,2,2,4,2,2,2,2
2,2,2,2,2,2,2,2,2,2,3,2
2,2,2,2,2,3,3,2,1,2,2,2
3,2,3,3,1,1,1,3,2,1,2,3
2,2,2,2,2,3,2,2,2,2,2,2
1,1,5,1,4,2,2,2,1,4,1,1
2,2,3,2,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,2,2,2,2
2,3,1,3,1,1,1,2,3,1,1,6
2,2,2,2,2,2,2,2,2,2,3,2
2,2,2,2,2,3,3,2,2,2,2,1
2,2,2,2,2,2,2,2,2,2,3,2
2,3,2,3,2,2,2,1,2,2,1,3
3,3,1,3,1,2,3,2,2,1,2,2
2,1,3,1,2,2,3,1,2,3,2,3
2,2,2,2,2,2,3,2,2,2,2,2
2,2,2,2,2,2,2,2,3,2,2,2
2,2,3,2,2,2,2,2,1,2,3,2
2,2,4,2,2,1,2,3,2,1,2,2
2,2,1,2,3,2,2,2,2,3,2,2
2,2,2,2,2,3,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,1,4
2,2,1,2,3,2,2,2,2,2,3,2
2,2,2,2,2,1,2,4,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2
1,2,2,2,2,3,3,2,2,2,1,3
2,2,2,2,3,3,2,1,2,2,2,2
2,3,2,3,2,1,1,3,2,2,1,3
2,2,3,2,3,2,2,2,2,2,1,2
2,2,2,2,2,2,3,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,3,2,3,1,1,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,3,2
2,2,2,2,2,3,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,3,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,1,2,2,3,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,1,2,2,2
3,2,1,2,2,1,1,2,2,3,3,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,3,2,2,2,2
1,1,2,1,1,1,1,1,1,1,1,12
2,3,1,3,1,1,2,3,3,1,1,3
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,3,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
3,2,1,3,2,2,2,2,2,1,1,3
2,2,2,2,2,3,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,3,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,3,1,2,2,2,2,2
2,2,2,2,2,2,2,2,3,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,2,1,2,2,2
2,2,2,1,2,2,2,2,2,2,3,2
3,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,3,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,3,2,2,1,2
2,3,1,3,2,1,1,3,2,2,1,3
2,2,2,2,2,2,3,2,1,2,2,2
2,2,2,2,2,2,2,2,1,2,2,3
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2,3,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
1,2,2,2,3,2,1,2,2,2,3,2
2,2,2,1,2,2,2,2,2,2,2,3
2,2,2,2,3,2,2,1,2,2,2,2
2,2,3,2,1,2,3,2,2,1,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,3,2,3,1,2,2,1
2,2,2,2,2,3,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
1,3,3,3,1,1,1,2,2,3,1,3
2,3,1,3,1,1,1,4,3,1,1,3
2,2,2,3,2,2,2,2,2,2,2,1
2,2,2,2,2,2,3,2,2,2,1,2
2,2,2,2,2,2,2,1,1,2,4,2
2,2,2,2,2,2,1,3,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
1,2,3,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2
2,1,2,1,2,3,2,2,3,2,1,2
2,2,2,2,3,1,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,1,2
2,3,1,3,1,2,2,2,3,0,1,3
2,2,2,2,2,2,2,2,2,2,2,1
2,2,2,2,1,3,2,1,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2,2,2,0,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
1,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,1,2,2,2,2
1,2,2,1,1,2,1,2,2,1,2,6
2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,5,1,1,1,2,2,1,2
1,4,2,0,0,0,0,8,4,1,1,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,1,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,1,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,1,2,2,2,3,2,2,2,1
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,1,2,1,2,3,2,3,1,2,2
2,2,2,2,2,2,2,1,1,3,2,2
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,1,2,1,3,2,2,3,2,1,2
2,2,2,2,2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,1,2,2,2,2
1,3,0,3,1,3,2,2,3,1,2,2
2,2,1,2,2,2,2,3,2,1,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,1,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,1,2,3,2
1,2,2,2,2,1,2,2,2,2,2,3
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,1,1,2,4,2,2,1,2,2
2,3,3,0,3,2,2,1,1,2,3,1
2,2,2,2,2,2,2,2,2,2,1,2
1,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,2,3,1,2,2,1,2,2,2
3,1,1,2,2,2,2,2,2,1,3,2
2,2,2,2,3,2,1,3,1,2,2,1
2,2,1,1,2,2,2,2,2,3,2,2
2,2,2,4,1,1,1,3,3,1,1,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,1,1,2,2,3
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,3,2,2,2,2,1,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,1,2,2,2
5,2,1,2,1,2,2,2,1,1,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,1,4,3,2,0,2,1,2
1,3,1,3,1,2,2,3,3,1,0,3
2,2,2,2,2,2,2,1,2,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2,1,2,2,3
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,2,1,2,2,1,2,2,3,2
3,2,3,2,1,1,1,3,1,2,2,2
2,2,2,2,2,2,2,2,2,2,1,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,1,2,2,2,2,2,2,2,2
2,2,2,2,1,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,2,2
2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,3,3,1,1,2,1,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,0,2,1,1,3,4,3,1,2
2,2,2,2,2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,2,1,2,2,2
1,2,3,1,2,2,1,2,2,2,1,4
